Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
04/20/2015,Open,,15-01448364,Rodent Baiting/Rat Complaint,,,,,,7918 S TRUMBULL AVE,60652,1154757.85012442,1851863.355432,18,8,70,41.7493227881,-87.7084822032,"(41.749322788059345, -87.70848220316793)"
04/20/2015,Open,,15-01452358,Rodent Baiting/Rat Complaint,,,,,,3132 N MENARD AVE,60634,1137164.09728208,1920234.51711766,30,25,19,41.9372761424,-87.7713144303,"(41.93727614241922, -87.77131443029089)"
04/20/2015,Open,,15-01450130,Rodent Baiting/Rat Complaint,,,,,,5551 W FARRAGUT AVE,60630,1138136.78986742,1934568.60439308,45,16,11,41.9765926844,-87.7673916659,"(41.97659268443498, -87.7673916659011)"
04/20/2015,Open,,15-01452860,Rodent Baiting/Rat Complaint,,,,,,1502 W SCHOOL ST,60657,1165713.00993075,1922000.23473254,44,19,6,41.9415598381,-87.6663418852,"(41.9415598380557, -87.66634188522433)"
04/20/2015,Open,,15-01454305,Rodent Baiting/Rat Complaint,,,,,,1306 W 110TH ST,60643,1169580.17591154,1831825.7246664,34,22,75,41.6940283251,-87.654745907,"(41.69402832507797, -87.65474590704687)"
04/20/2015,Open,,15-01453807,Rodent Baiting/Rat Complaint,,,,,,7939 S STATE ST,60619,1177667.22997308,1852291.88002782,6,6,44,41.7500114974,-87.6245202946,"(41.750011497366856, -87.62452029463442)"
04/20/2015,Open,,15-01457625,Rodent Baiting/Rat Complaint,,,,,,5978 N LANDERS AVE,60646,1141830.97998216,1939512.46998545,45,16,12,41.9900912497,-87.7536833541,"(41.99009124974026, -87.75368335412962)"
04/20/2015,Open,,15-01453760,Rodent Baiting/Rat Complaint,,,,,,5911 N ARTESIAN AVE,60659,1158920.64916659,1939175.37402406,40,20,2,41.9888316303,-87.690833205,"(41.9888316303346, -87.69083320504001)"
04/20/2015,Open,,15-01453705,Rodent Baiting/Rat Complaint,,,,,,3143 W GRANVILLE AVE,60659,1154177.71003288,1940972.10970377,50,24,2,41.9938582745,-87.7082301484,"(41.99385827446134, -87.70823014835283)"
04/20/2015,Open,,15-01450102,Rodent Baiting/Rat Complaint,,,,,,2539 N RIDGEWAY AVE,60647,1150950.17725,1916791.5888,35,25,22,41.9275692728,-87.7207383051,"(41.927569272839285, -87.72073830507384)"
04/20/2015,Open,,15-01457583,Rodent Baiting/Rat Complaint,,,,,,3300 N RIDGEWAY AVE,60618,1150810.06352213,1921681.52443419,30,17,21,41.9409904074,-87.7211248591,"(41.940990407401785, -87.72112485908916)"
04/20/2015,Open,,15-01451588,Rodent Baiting/Rat Complaint,,,,,,4718 W CONGRESS PKWY,60644,1145014.47558779,1897276.39573364,24,11,25,41.874131738,-87.7430432932,"(41.87413173798404, -87.74304329323367)"
04/20/2015,Open,,15-01452918,Rodent Baiting/Rat Complaint,,,,,,2560 W ARGYLE ST,60625,1158477.86259254,1932989.85006904,47,20,4,41.9718673732,-87.6926320081,"(41.971867373171435, -87.69263200808744)"
04/20/2015,Open,,15-01448621,Rodent Baiting/Rat Complaint,,,,,,6854 S DORCHESTER AVE,60637,1186720.60617091,1859848.78220851,5,3,43,41.7705388842,-87.591106225,"(41.77053888416543, -87.59110622496654)"
04/20/2015,Open - Dup,,15-01452132,Rodent Baiting/Rat Complaint,,,,,,1443 W BERTEAU AVE,60613,1165795.41272058,1927993.33031286,47,19,6,41.9580034074,-87.6658674813,"(41.95800340743446, -87.66586748128438)"
04/20/2015,Open,,15-01455354,Rodent Baiting/Rat Complaint,,,,,,10944 S DRAKE AVE,60655,1154631.0667962,1831804.48908625,19,22,74,41.6942802026,-87.7094794511,"(41.694280202598854, -87.70947945112069)"
04/20/2015,Open - Dup,,15-01452559,Rodent Baiting/Rat Complaint,,,,,,5717 W HIGGINS AVE,60630,1137043.21998173,1932659.37622983,45,16,11,41.9713733482,-87.7714592951,"(41.97137334818809, -87.77145929510098)"
04/20/2015,Open,,15-01463275,Rodent Baiting/Rat Complaint,,,,,,6137 N RICHMOND ST,60659,1155569.58478235,1940605.27306594,50,24,2,41.9928236637,-87.7031201683,"(41.99282366368994, -87.70312016830617)"
04/20/2015,Open,,15-01459070,Rodent Baiting/Rat Complaint,,,,,,6528 S MINERVA AVE,60637,1185001.69551789,1861952.77499896,20,3,42,41.7763529635,-87.5973409906,"(41.776352963466586, -87.59734099063293)"
04/20/2015,Open,,15-01459067,Rodent Baiting/Rat Complaint,,,,,,5808 W SUPERIOR ST,60644,1137549.44980662,1904411.81240658,29,15,25,41.8938498648,-87.7702799474,"(41.8938498647694, -87.77027994740648)"
04/20/2015,Open,,15-01460350,Rodent Baiting/Rat Complaint,,,,,,7742 S MICHIGAN AVE,60619,1178494.50073388,1853707.206805,6,6,69,41.7538765753,-87.621445921,"(41.7538765752511, -87.62144592099988)"
04/20/2015,Open,,15-01461108,Rodent Baiting/Rat Complaint,,,,,,2018 N LEAVITT ST,60647,1161372.91990723,1913458.02181549,32,14,22,41.9182110143,-87.6825317664,"(41.918211014337345, -87.6825317663895)"
04/20/2015,Open,,15-01453446,Rodent Baiting/Rat Complaint,,,,,,6516 S ABERDEEN ST,60621,1170102.70849554,1861596.31409576,17,7,68,41.7757117151,-87.6519698765,"(41.77571171513979, -87.65196987654822)"
04/20/2015,Open,,15-01467214,Rodent Baiting/Rat Complaint,,,,,,6003 W 63RD ST,60638,1137461.60422952,1862143.34133169,13,8,64,41.7778602245,-87.7716177491,"(41.7778602244902, -87.77161774906911)"
04/20/2015,Open,,15-01457254,Rodent Baiting/Rat Complaint,,,,,,4140 N CLARENDON AVE,60613,1170176.91269781,1927637.63998355,46,19,3,41.9569326039,-87.6497700805,"(41.95693260392315, -87.64977008051088)"
04/20/2015,Open,,15-01452494,Rodent Baiting/Rat Complaint,,,,,,2056 W BRADLEY PL,60618,1161974.40129671,1924894.72070456,47,19,5,41.9495814713,-87.6800016786,"(41.94958147133858, -87.68000167864176)"
04/20/2015,Open,,15-01460981,Rodent Baiting/Rat Complaint,,,,,,1355 W BELDEN AVE,60614,1166820.63212963,1915401.45902198,32,18,7,41.9234287318,-87.6624607193,"(41.923428731792576, -87.66246071926382)"
04/20/2015,Open,,15-01449522,Rodent Baiting/Rat Complaint,,,,,,3053 S BROAD ST,60608,1167454.95003221,1884383.72841338,11,9,60,41.8383000832,-87.6610228335,"(41.838300083211564, -87.66102283349629)"
04/20/2015,Open,,15-01452518,Rodent Baiting/Rat Complaint,,,,,,2152 W CULLOM AVE,60618,1161155.69136688,1928528.99409663,47,19,5,41.9595711959,-87.6829097552,"(41.95957119586807, -87.6829097551587)"
04/20/2015,Open,,15-01446521,Rodent Baiting/Rat Complaint,,,,,,2961 S LOWE AVE,60616,1172439.2393946,1885266.02408023,11,9,60,41.8406126648,-87.6427071296,"(41.8406126648464, -87.64270712964456)"
04/20/2015,Open,,15-01450254,Rodent Baiting/Rat Complaint,,,,,,2200 W CORTEZ ST,60622,1161548.13331758,1906959.03190165,32,12,24,41.9003736537,-87.6820693186,"(41.90037365373466, -87.68206931861651)"
04/20/2015,Open - Dup,,15-01452160,Rodent Baiting/Rat Complaint,,,,,,2153 W CULLOM AVE,60618,1161150.69136688,1928528.89409663,47,19,5,41.9595710256,-87.6829281401,"(41.95957102560329, -87.68292814014728)"
04/20/2015,Open,,15-01451096,Rodent Baiting/Rat Complaint,,,,,,5824 W WASHINGTON BLVD,60644,1137566.92220202,1900154.60458988,29,15,25,41.8821672216,-87.7703183628,"(41.882167221597626, -87.77031836279431)"
04/20/2015,Open,,15-01448262,Rodent Baiting/Rat Complaint,,,,,,2750 W HADDON AVE,60622,1158188.83898972,1907532.71147847,26,12,24,41.9020171954,-87.6943924739,"(41.90201719539744, -87.69439247387608)"
04/20/2015,Open,,15-01449026,Rodent Baiting/Rat Complaint,,,,,,670 N DRAKE AVE,60624,1152596.11860427,1904243.39347493,27,11,23,41.8931034534,-87.7150224786,"(41.89310345342495, -87.71502247863961)"
04/20/2015,Open,,15-01451310,Rodent Baiting/Rat Complaint,,,,,,1400 W BERTEAU AVE,60613,1166165.81272058,1928005.03031286,47,19,6,41.9580275879,-87.6645054307,"(41.95802758792619, -87.66450543065736)"
04/20/2015,Open,,15-01456707,Rodent Baiting/Rat Complaint,,,,,,9700 S INDIANA AVE,60628,1179290.49013346,1840700.90179581,6,5,49,41.7181675894,-87.6189245627,"(41.71816758941439, -87.61892456265895)"
04/20/2015,Open,,15-01460401,Rodent Baiting/Rat Complaint,,,,,,68 W 112TH PL,60628,1177748.80498711,1830367.08248182,34,5,49,41.6898451099,-87.6248825063,"(41.689845109922345, -87.62488250631709)"
04/20/2015,Open,,15-01450302,Rodent Baiting/Rat Complaint,,,,,,3718 N CENTRAL PARK AVE,60618,1151729.09316679,1924482.07568204,35,17,16,41.9486572726,-87.7176731285,"(41.948657272567004, -87.71767312846235)"
04/20/2015,Open,,15-01448905,Rodent Baiting/Rat Complaint,,,,,,3901 W 47TH ST,60632,1151145.34663148,1873184.36811977,14,8,57,41.8079022372,-87.7211638304,"(41.8079022372039, -87.72116383039874)"
04/20/2015,Open,,15-01467776,Rodent Baiting/Rat Complaint,,,,,,4325 N SPRINGFIELD AVE,60618,1149614.65419531,1928460.78401811,39,17,16,41.9596165635,-87.7253417135,"(41.959616563454816, -87.72534171346845)"
04/20/2015,Open,,15-01462775,Rodent Baiting/Rat Complaint,,,,,,1756 W NORTH SHORE AVE,60626,1163370.98002443,1944548.47928681,49,24,1,42.0034828011,-87.6743122564,"(42.00348280110321, -87.6743122564298)"
